Customer ID,Sales,Sales,Sales,Profit,Profit,Order Date,Order Date
,sum,count,mean,sum,mean,min,max
AA-10315,0.6064468225070386,42,0.014439210059691395,18.509841196846335,0.4407105046868175,2011-03-31,2014-12-23
AA-10375,0.2591014079136525,42,0.00616908114080125,18.5251603704918,0.44107524691647143,2011-04-21,2014-12-25
AA-10480,0.7809298377297375,38,0.020550785203414145,16.82109419668887,0.4426603735970755,2011-05-04,2014-08-28
AA-10645,0.6763607364172367,73,0.009265215567359406,32.323421325158726,0.442786593495325,2011-01-26,2014-12-03
AA-315,0.0989354376854949,8,0.012366929710686862,3.5557035708242832,0.4444629463530354,2011-06-08,2014-12-29
AA-375,0.0286561961470502,13,0.002204322780542323,5.725161290494623,0.44039702234574024,2011-06-01,2014-04-22
AA-480,0.0909554609772679,10,0.00909554609772679,4.436973140050962,0.4436973140050962,2011-06-21,2014-02-20
AA-645,0.08659461447980646,18,0.004810811915544803,7.879441363620181,0.4377467424233434,2011-04-22,2014-11-10
AB-10015,0.8836150583027569,77,0.011475520237698142,34.12795759240328,0.4432202284727698,2011-02-19,2014-12-15
AB-10060,0.8124045036415676,57,0.01425271059020294,25.38093149485658,0.44527949990976456,2011-01-07,2014-11-19
AB-10105,1.0133057479014496,62,0.01634364109518467,27.740835105227653,0.44743282427786535,2011-10-13,2014-12-04
AB-10150,0.575863851440114,47,0.012252422371066255,20.817609194001523,0.4429278551915218,2011-01-25,2014-11-26
AB-10165,0.5135682706750684,52,0.009876312897597469,23.035292374896613,0.4429863918249349,2011-02-18,2014-12-18
AB-10255,0.4754469159780441,53,0.008970696527887624,23.317111232474442,0.43994549495234797,2011-01-20,2014-12-26
AB-105,0.0949614180311394,15,0.00633076120207596,6.566976138726824,0.4377984092484549,2011-05-18,2014-11-18
AB-10600,0.5875859151385731,38,0.015462787240488765,16.78035310641619,0.4415882396425313,2011-01-19,2014-11-11
